date,rate,daily_factor,accumulated
2021-01-04,1.9,1.000074692290285,1.000074692290285
2021-01-05,1.9,1.000074692290285,1.0001493901595082
2021-01-06,1.9,1.000074692290285,1.0002240936080864
2021-01-07,1.9,1.000074692290285,1.0002988026364363
2021-01-08,1.9,1.000074692290285,1.0003735172449746
2021-01-11,1.9,1.000074692290285,1.0004482374341181
2021-01-12,1.9,1.000074692290285,1.0005229632042838
2021-01-13,1.9,1.000074692290285,1.0005976945558883
2021-01-14,1.9,1.000074692290285,1.0006724314893487
2021-01-15,1.9,1.000074692290285,1.0007471740050817
2021-01-18,1.9,1.000074692290285,1.0008219221035044
2021-01-19,1.9,1.000074692290285,1.0008966757850337
2021-01-20,1.9,1.000074692290285,1.0009714350500867
2021-01-21,1.9,1.000074692290285,1.0010461998990805
2021-01-22,1.9,1.000074692290285,1.001120970332432
2021-01-25,1.9,1.000074692290285,1.0011957463505585
2021-01-26,1.9,1.000074692290285,1.001270527953877
2021-01-27,1.9,1.000074692290285,1.0013453151428047
2021-01-28,1.9,1.000074692290285,1.001420107917759
2021-01-29,1.9,1.000074692290285,1.0014949062791567
2021-02-01,1.9,1.000074692290285,1.0015697102274155
2021-02-02,1.9,1.000074692290285,1.0016445197629524
2021-02-03,1.9,1.000074692290285,1.001719334886185
2021-02-04,1.9,1.000074692290285,1.0017941555975305
2021-02-05,1.9,1.000074692290285,1.0018689818974063
2021-02-08,1.9,1.000074692290285,1.0019438137862298
2021-02-09,1.9,1.000074692290285,1.0020186512644182
2021-02-10,1.9,1.000074692290285,1.0020934943323896
2021-02-11,1.9,1.000074692290285,1.002168342990561
2021-02-12,1.9,1.000074692290285,1.0022431972393502
2021-02-17,1.9,1.000074692290285,1.0023180570791745
2021-02-18,1.9,1.000074692290285,1.0023929225104518
2021-02-19,1.9,1.000074692290285,1.0024677935335995
2021-02-22,1.9,1.000074692290285,1.0025426701490354
2021-02-23,1.9,1.000074692290285,1.0026175523571772
2021-02-24,1.9,1.000074692290285,1.0026924401584427
2021-02-25,1.9,1.000074692290285,1.0027673335532497
2021-02-26,1.9,1.000074692290285,1.0028422325420157
2021-03-01,1.9,1.000074692290285,1.0029171371251588
2021-03-02,1.9,1.000074692290285,1.0029920473030969
2021-03-03,1.9,1.000074692290285,1.0030669630762477
2021-03-04,1.9,1.000074692290285,1.003141884445029
2021-03-05,1.9,1.000074692290285,1.003216811409859
2021-03-08,1.9,1.000074692290285,1.0032917439711555
2021-03-09,1.9,1.000074692290285,1.0033666821293368
2021-03-10,1.9,1.000074692290285,1.0034416258848207
2021-03-11,1.9,1.000074692290285,1.0035165752380253
2021-03-12,1.9,1.000074692290285,1.0035915301893688
