fund,date,proxy_return
Brave I FIC FIM CP,2021-06-09,-0.028420971558736918
Brave I FIC FIM CP,2021-06-10,-0.02736222008240838
Brave I FIC FIM CP,2021-06-11,-0.030028622487493384
Brave I FIC FIM CP,2021-06-14,-0.029849988261028616
Brave I FIC FIM CP,2021-06-15,-0.030176420328250343
Brave I FIC FIM CP,2021-06-16,-0.03233531767459166
Brave I FIC FIM CP,2021-06-17,-0.03081778147899651
Brave I FIC FIM CP,2021-06-18,-0.03227145761340973
Brave I FIC FIM CP,2021-06-21,-0.0320163261203333
Brave I FIC FIM CP,2021-06-22,-0.03342680147627142
Brave I FIC FIM CP,2021-06-23,-0.03268664486223314
Brave I FIC FIM CP,2021-06-24,-0.03562688495441883
Brave I FIC FIM CP,2021-06-25,-0.034640686971252305
Brave I FIC FIM CP,2021-06-28,-0.03155557371297763
Brave I FIC FIM CP,2021-06-29,-0.03479759137353811
Brave I FIC FIM CP,2021-06-30,-0.03173935242313573
Brave I FIC FIM CP,2021-07-01,-0.032918348143629234
Brave I FIC FIM CP,2021-07-02,-0.03534475372566169
Brave I FIC FIM CP,2021-07-05,-0.03634797878062936
Brave I FIC FIM CP,2021-07-06,-0.037611755735820235
Brave I FIC FIM CP,2021-07-07,-0.03654930399063358
Brave I FIC FIM CP,2021-07-08,-0.03494838520645114
Brave I FIC FIM CP,2021-07-12,-0.030877296972289588
Brave I FIC FIM CP,2021-07-13,-0.03375182166946297
Brave I FIC FIM CP,2021-07-14,-0.035472557373392236
Brave I FIC FIM CP,2021-07-15,-0.036647113944319964
Brave I FIC FIM CP,2021-07-16,-0.03569128372598034
Brave I FIC FIM CP,2021-07-19,-0.03539978708851133
Brave I FIC FIM CP,2021-07-20,-0.0316525535197114
Brave I FIC FIM CP,2021-07-21,-0.03305252407053468
Brave I FIC FIM CP,2021-07-22,-0.03365568217718946
Brave I FIC FIM CP,2021-07-23,-0.02583490804720382
Brave I FIC FIM CP,2021-07-26,-0.026256480181345156
Brave I FIC FIM CP,2021-07-27,-0.028131824871098787
Brave I FIC FIM CP,2021-07-28,-0.02643659963331874
Brave I FIC FIM CP,2021-07-29,-0.025774528266962447
Brave I FIC FIM CP,2021-07-30,-0.027970126224520674
Brave I FIC FIM CP,2021-08-02,-0.02690490827500075
Brave I FIC FIM CP,2021-08-03,-0.026846473690314024
Brave I FIC FIM CP,2021-08-04,-0.025736297079955915
Brave I FIC FIM CP,2021-08-05,-0.02445211342682474
Brave I FIC FIM CP,2021-08-06,-0.023288242270027647
Brave I FIC FIM CP,2021-08-09,-0.01942887488974397
Brave I FIC FIM CP,2021-08-10,-0.016856608041437477
Brave I FIC FIM CP,2021-08-11,-0.014461104830307159
Brave I FIC FIM CP,2021-08-12,-0.016716090044218652
Brave I FIC FIM CP,2021-08-13,-0.01986871647240384
Brave I FIC FIM CP,2021-08-16,-0.01872954078023066
Brave I FIC FIM CP,2021-08-17,-0.023525255739795973
Brave I FIC FIM CP,2021-08-18,-0.025927094759236595
Brave I FIC FIM CP,2021-08-19,-0.02278650498904777
Brave I FIC FIM CP,2021-08-20,-0.026193689281575956
Brave I FIC FIM CP,2021-08-23,-0.02526622481942134
Brave I FIC FIM CP,2021-08-24,-0.023351860783971442
Brave I FIC FIM CP,2021-08-25,-0.02543491436648939
Brave I FIC FIM CP,2021-08-26,-0.021595433327398477
Brave I FIC FIM CP,2021-08-27,-0.021828954936738983
Brave I FIC FIM CP,2021-08-30,-0.023093601187567585
Brave I FIC FIM CP,2021-08-31,-0.017305521813976092
Brave I FIC FIM CP,2021-09-01,-0.02045055532248014
Brave I FIC FIM CP,2021-09-02,-0.020189393540456027
Brave I FIC FIM CP,2021-09-03,-0.023220646194101257
Brave I FIC FIM CP,2021-09-06,-0.02282676855443441
Brave I FIC FIM CP,2021-09-08,-0.022978394076673982
Brave I FIC FIM CP,2021-09-09,-0.021702528410090547
Brave I FIC FIM CP,2021-09-10,-0.01857837524600997
